#lineID, stationID, statusN, statusS, timestamp
0, 0, L, M, 9:15
0, 1, L, L, 9:15
0, 2, L, L, 9:15
0, 3, L, L, 9:15
0, 4, L, L, 9:15
0, 5, L, L, 9:15
0, 6, L, L, 9:15
0, 7, L, L, 9:15
0, 8, L, L, 9:15
0, 9, L, L, 9:15
0, 10, L, L, 9:15
0, 11, M, L, 9:15
0, 12, L, L, 9:15
0, 13, L, L, 9:15
0, 14, L, L, 9:15
0, 15, H, L, 9:15
0, 16, H, L, 9:15
0, 17, H, L, 9:15
0, 18, H, L, 9:15
0, 19, H, M, 9:15
0, 20, H, L, 9:15
0, 21, H, L, 9:15
0, 22, H, H, 9:15
0, 23, H, H, 9:15
0, 24, H, H, 9:15
0, 25, H, H, 9:15
0, 26, H, H, 9:15
0, 27, L, H, 9:15
0, 28, M, H, 9:15
0, 29, M, M, 9:15
0, 30, L, L, 9:15
0, 31, L, H, 9:15
0, 32, L, H, 9:15
0, 33, L, H, 9:15
0, 34, L, L, 9:15
0, 35, L, L, 9:15
0, 36, L, L, 9:15
1, 0, L, M, 9:15
1, 1, L, L, 9:15
1, 2, L, M, 9:15
1, 3, L, L, 9:15
1, 4, L, L, 9:15
1, 5, L, L, 9:15
1, 6, M, M, 9:15
1, 7, M, M, 9:15
1, 8, L, L, 9:15
1, 9, L, L, 9:15
1, 10, L, L, 9:15
1, 11, M, L, 9:15
2, 0, M, M, 9:15
2, 1, M, M, 9:15
2, 2, L, L, 9:15
2, 3, L, L, 9:15
2, 4, L, L, 9:15
2, 5, L, L, 9:15
2, 6, L, L, 9:15
2, 7, M, L, 9:15
2, 8, M, M, 9:15
2, 9, L, L, 9:15
2, 10, L, L, 9:15
2, 11, L, M, 9:15
2, 12, M, M, 9:15
2, 13, L, L, 9:15
2, 14, L, L, 9:15
2, 15, M, M, 9:15
2, 16, L, L, 9:15
2, 17, M, L, 9:15
2, 18, M, L, 9:15
2, 19, L, L, 9:15
2, 20, L, L, 9:15
2, 21, L, L, 9:15
2, 22, M, L, 9:15
2, 23, M, L, 9:15
2, 24, M, M, 9:15
3, 0, M, M, 9:15
3, 1, M, M, 9:15
3, 2, M, L, 9:15
3, 3, L, L, 9:15
3, 4, M, L, 9:15
3, 5, M, M, 9:15
3, 6, L, M, 9:15
3, 7, M, M, 9:15
4, 0, L, L, 9:15
4, 1, L, L, 9:15
4, 2, M, M, 9:15
4, 3, L, L, 9:15
4, 4, L, L, 9:15
4, 5, M, M, 9:15
4, 6, L, L, 9:15
4, 7, M, M, 9:15
4, 8, L, L, 9:15
4, 9, L, L, 9:15
4, 10, M, M, 9:15
4, 11, L, L, 9:15
4, 12, M, M, 9:15
4, 13, H, L, 9:15
4, 14, H, L, 9:15
4, 15, H, L, 9:15
4, 16, H, M, 9:15
4, 17, L, M, 9:15
4, 18, L, L, 9:15
5, 0, M, M, 9:18
5, 1, L, L, 9:18
5, 2, L, L, 9:18
5, 3, M, M, 9:18
5, 4, L, L, 9:18
5, 5, L, L, 9:18
5, 6, L, L, 9:18
5, 7, M, L, 9:18
5, 8, M, M, 9:18
5, 9, M, M, 9:18
5, 10, M, M, 9:18
5, 11, L, L, 9:18
5, 12, L, L, 9:18
5, 13, L, L, 9:18
5, 14, L, L, 9:18
6, 0, L, L, 9:18
6, 1, M, M, 9:18
6, 2, L, L, 9:18
6, 3, L, L, 9:18
6, 4, L, L, 9:18
6, 5, M, M, 9:18
6, 6, L, L, 9:18
7, 0, M, H, 9:15
7, 1, M, H, 9:15
7, 2, M, H, 9:15
7, 3, M, H, 9:15
7, 4, L, H, 9:15
7, 5, M, H, 9:15
7, 6, M, H, 9:15
7, 7, L, H, 9:15
7, 8, L, L, 9:15
7, 9, M, H, 9:15
7, 10, M, H, 9:15
7, 11, L, H, 9:15
8, 0, L, H, 8:58
8, 1, L, L, 8:58
8, 2, L, L, 8:58
8, 3, L, L, 8:58
8, 4, L, L, 8:58
8, 5, L, L, 8:58
8, 6, L, L, 8:58
