#lineID, stationID, statusN, statusS, timestamp
0, 0, L, M, 5:16
0, 1, L, L, 5:16
0, 2, M, M, 5:16
0, 3, L, L, 5:16
0, 4, L, L, 5:16
0, 5, L, L, 5:16
0, 6, L, L, 5:16
0, 7, L, L, 5:16
0, 8, L, L, 5:16
0, 9, L, L, 5:16
0, 10, L, H, 5:16
0, 11, M, H, 5:16
0, 12, L, H, 5:16
0, 13, L, H, 5:16
0, 14, H, M, 5:16
0, 15, H, H, 5:16
0, 16, H, H, 5:16
0, 17, H, L, 5:16
0, 18, H, L, 5:16
0, 19, H, H, 5:16
0, 20, L, H, 5:16
0, 21, M, H, 5:16
0, 22, M, H, 5:16
0, 23, L, H, 5:16
0, 24, M, H, 5:16
0, 25, H, H, 5:16
0, 26, H, H, 5:16
0, 27, H, H, 5:16
0, 28, H, M, 5:16
0, 29, H, L, 5:16
0, 30, M, L, 5:16
0, 31, M, L, 5:16
0, 32, L, H, 5:16
0, 33, L, H, 5:16
0, 34, L, L, 5:16
0, 35, L, L, 5:16
0, 36, L, L, 5:16
1, 0, L, L, 5:12
1, 1, L, L, 5:12
1, 2, L, L, 5:12
1, 3, L, L, 5:12
1, 4, H, L, 5:12
1, 5, H, L, 5:12
1, 6, M, M, 5:12
1, 7, M, M, 5:12
1, 8, L, L, 5:12
1, 9, L, L, 5:12
1, 10, L, L, 5:12
1, 11, M, M, 5:12
2, 0, M, M, 5:12
2, 1, M, M, 5:12
2, 2, L, L, 5:12
2, 3, L, M, 5:12
2, 4, M, M, 5:12
2, 5, L, M, 5:12
2, 6, M, M, 5:12
2, 7, L, M, 5:12
2, 8, M, L, 5:12
2, 9, L, L, 5:12
2, 10, L, L, 5:12
2, 11, M, M, 5:12
2, 12, M, M, 5:12
2, 13, L, L, 5:12
2, 14, M, L, 5:12
2, 15, M, M, 5:12
2, 16, L, M, 5:12
2, 17, M, M, 5:12
2, 18, L, M, 5:12
2, 19, L, L, 5:12
2, 20, L, L, 5:12
2, 21, L, L, 5:12
2, 22, M, L, 5:12
2, 23, M, L, 5:12
2, 24, M, M, 5:12
3, 0, M, M, 5:12
3, 1, M, M, 5:12
3, 2, M, M, 5:12
3, 3, M, M, 5:12
3, 4, M, M, 5:12
3, 5, M, M, 5:12
3, 6, L, M, 5:12
3, 7, L, M, 5:12
4, 0, L, M, 5:17
4, 1, M, L, 5:17
4, 2, M, L, 5:17
4, 3, M, L, 5:17
4, 4, M, L, 5:17
4, 5, M, H, 5:17
4, 6, L, H, 5:17
4, 7, M, H, 5:17
4, 8, L, L, 5:17
4, 9, L, L, 5:17
4, 10, H, H, 5:17
4, 11, H, H, 5:17
4, 12, L, H, 5:17
4, 13, H, L, 5:17
4, 14, H, L, 5:17
4, 15, H, L, 5:17
4, 16, H, H, 5:17
4, 17, L, H, 5:17
4, 18, M, H, 5:17
5, 0, M, M, 5:17
5, 1, M, M, 5:17
5, 2, L, L, 5:17
5, 3, L, L, 5:17
5, 4, L, L, 5:17
5, 5, H, L, 5:17
5, 6, H, H, 5:17
5, 7, H, H, 5:17
5, 8, H, H, 5:17
5, 9, H, H, 5:17
5, 10, L, H, 5:17
5, 11, L, H, 5:17
5, 12, L, L, 5:17
5, 13, L, L, 5:17
5, 14, L, L, 5:17
6, 0, L, M, 5:17
6, 1, L, M, 5:17
6, 2, L, L, 5:17
6, 3, L, L, 5:17
6, 4, L, L, 5:17
6, 5, M, M, 5:17
6, 6, M, M, 5:17
7, 0, H, H, 5:17
7, 1, M, H, 5:17
7, 2, M, H, 5:17
7, 3, M, H, 5:17
7, 4, M, H, 5:17
7, 5, M, H, 5:17
7, 6, L, M, 5:17
7, 7, L, M, 5:17
7, 8, L, L, 5:17
7, 9, M, M, 5:17
7, 10, M, M, 5:17
7, 11, L, L, 5:17
8, 0, L, L, 5:17
8, 1, L, L, 5:17
8, 2, L, L, 5:17
8, 3, L, L, 5:17
8, 4, L, L, 5:17
8, 5, L, L, 5:17
8, 6, L, L, 5:17
