#lineID, stationID, statusN, statusS, timestamp
0, 0, L, M, 2:28
0, 1, L, L, 2:28
0, 2, M, M, 2:28
0, 3, L, L, 2:28
0, 4, L, L, 2:28
0, 5, L, L, 2:28
0, 6, L, L, 2:28
0, 7, L, L, 2:28
0, 8, H, L, 2:28
0, 9, H, L, 2:28
0, 10, H, M, 2:28
0, 11, H, M, 2:28
0, 12, H, M, 2:28
0, 13, H, L, 2:28
0, 14, H, L, 2:28
0, 15, H, L, 2:28
0, 16, H, M, 2:28
0, 17, H, L, 2:28
0, 18, L, L, 2:28
0, 19, L, H, 2:28
0, 20, L, H, 2:28
0, 21, H, H, 2:28
0, 22, H, H, 2:28
0, 23, L, H, 2:28
0, 24, L, H, 2:28
0, 25, L, H, 2:28
0, 26, M, H, 2:28
0, 27, L, H, 2:28
0, 28, H, M, 2:28
0, 29, M, L, 2:28
0, 30, H, L, 2:28
0, 31, H, L, 2:28
0, 32, L, H, 2:28
0, 33, L, H, 2:28
0, 34, L, L, 2:28
0, 35, L, L, 2:28
0, 36, L, L, 2:28
1, 0, L, L, 2:26
1, 1, L, L, 2:26
1, 2, L, L, 2:26
1, 3, L, L, 2:26
1, 4, H, L, 2:26
1, 5, H, L, 2:26
1, 6, M, M, 2:26
1, 7, M, M, 2:26
1, 8, L, L, 2:26
1, 9, L, L, 2:26
1, 10, L, L, 2:26
1, 11, M, M, 2:26
2, 0, M, M, 2:26
2, 1, M, M, 2:26
2, 2, L, L, 2:26
2, 3, L, M, 2:26
2, 4, M, M, 2:26
2, 5, L, M, 2:26
2, 6, M, M, 2:26
2, 7, L, M, 2:26
2, 8, M, L, 2:26
2, 9, L, L, 2:26
2, 10, L, L, 2:26
2, 11, M, M, 2:26
2, 12, M, M, 2:26
2, 13, L, L, 2:26
2, 14, M, L, 2:26
2, 15, M, M, 2:26
2, 16, L, M, 2:26
2, 17, L, L, 2:26
2, 18, L, L, 2:26
2, 19, L, L, 2:26
2, 20, L, L, 2:26
2, 21, L, L, 2:26
2, 22, M, L, 2:26
2, 23, M, L, 2:26
2, 24, M, L, 2:26
3, 0, M, L, 2:26
3, 1, M, M, 2:26
3, 2, M, M, 2:26
3, 3, M, L, 2:26
3, 4, M, L, 2:26
3, 5, M, M, 2:26
3, 6, L, M, 2:26
3, 7, L, M, 2:26
4, 0, L, M, 2:28
4, 1, H, L, 2:28
4, 2, H, L, 2:28
4, 3, H, L, 2:28
4, 4, H, H, 2:28
4, 5, H, H, 2:28
4, 6, L, H, 2:28
4, 7, M, H, 2:28
4, 8, L, L, 2:28
4, 9, L, L, 2:28
4, 10, H, H, 2:28
4, 11, H, H, 2:28
4, 12, L, H, 2:28
4, 13, H, L, 2:28
4, 14, H, L, 2:28
4, 15, H, L, 2:28
4, 16, H, H, 2:28
4, 17, L, H, 2:28
4, 18, M, H, 2:28
5, 0, M, M, 2:27
5, 1, M, M, 2:27
5, 2, L, L, 2:27
5, 3, L, L, 2:27
5, 4, L, L, 2:27
5, 5, H, L, 2:27
5, 6, H, H, 2:27
5, 7, H, H, 2:27
5, 8, H, H, 2:27
5, 9, H, H, 2:27
5, 10, L, H, 2:27
5, 11, L, H, 2:27
5, 12, L, L, 2:27
5, 13, L, L, 2:27
5, 14, L, L, 2:27
6, 0, L, L, 2:27
6, 1, L, L, 2:27
6, 2, L, L, 2:27
6, 3, L, L, 2:27
6, 4, L, L, 2:27
6, 5, M, M, 2:27
6, 6, M, M, 2:27
7, 0, H, H, 2:32
7, 1, L, H, 2:32
7, 2, L, H, 2:32
7, 3, M, H, 2:32
7, 4, M, M, 2:32
7, 5, M, M, 2:32
7, 6, L, L, 2:32
7, 7, M, M, 2:32
7, 8, L, L, 2:32
7, 9, H, M, 2:32
7, 10, H, M, 2:32
7, 11, M, L, 2:32
8, 0, L, H, 2:32
8, 1, L, L, 2:32
8, 2, L, L, 2:32
8, 3, L, L, 2:32
8, 4, L, L, 2:32
8, 5, L, L, 2:32
8, 6, L, L, 2:32
