#lineID, stationID, statusN, statusS, timestamp
0, 0, L, M, 12:26
0, 1, L, L, 12:26
0, 2, M, M, 12:26
0, 3, L, L, 12:26
0, 4, L, M, 12:26
0, 5, L, L, 12:26
0, 6, L, L, 12:26
0, 7, L, L, 12:26
0, 8, L, L, 12:26
0, 9, L, L, 12:26
0, 10, L, L, 12:26
0, 11, L, L, 12:26
0, 12, L, L, 12:26
0, 13, L, L, 12:26
0, 14, L, L, 12:26
0, 15, L, H, 12:26
0, 16, L, H, 12:26
0, 17, L, L, 12:26
0, 18, L, L, 12:26
0, 19, L, L, 12:26
0, 20, L, L, 12:26
0, 21, L, L, 12:26
0, 22, M, L, 12:26
0, 23, L, L, 12:26
0, 24, L, L, 12:26
0, 25, L, L, 12:26
0, 26, L, L, 12:26
0, 27, L, L, 12:26
0, 28, L, L, 12:26
0, 29, L, L, 12:26
0, 30, L, L, 12:26
0, 31, L, L, 12:26
0, 32, L, L, 12:26
0, 33, L, L, 12:26
0, 34, L, L, 12:26
0, 35, L, L, 12:26
0, 36, L, L, 12:26
1, 0, L, L, 12:26
1, 1, L, L, 12:26
1, 2, L, L, 12:26
1, 3, L, L, 12:26
1, 4, L, L, 12:26
1, 5, L, L, 12:26
1, 6, L, L, 12:26
1, 7, L, L, 12:26
1, 8, L, L, 12:26
1, 9, L, L, 12:26
1, 10, L, L, 12:26
1, 11, L, L, 12:26
2, 0, L, L, 12:26
2, 1, L, L, 12:26
2, 2, L, L, 12:26
2, 3, L, L, 12:26
2, 4, L, L, 12:26
2, 5, L, L, 12:26
2, 6, L, L, 12:26
2, 7, L, L, 12:26
2, 8, L, L, 12:26
2, 9, L, L, 12:26
2, 10, L, L, 12:26
2, 11, L, L, 12:26
2, 12, L, L, 12:26
2, 13, L, L, 12:26
2, 14, L, L, 12:26
2, 15, M, M, 12:26
2, 16, L, L, 12:26
2, 17, L, L, 12:26
2, 18, L, L, 12:26
2, 19, L, L, 12:26
2, 20, L, L, 12:26
2, 21, L, L, 12:26
2, 22, L, L, 12:26
2, 23, L, L, 12:26
2, 24, L, M, 12:26
3, 0, L, L, 12:26
3, 1, L, M, 12:26
3, 2, L, L, 12:26
3, 3, L, L, 12:26
3, 4, L, L, 12:26
3, 5, L, M, 12:26
3, 6, L, L, 12:26
3, 7, L, M, 12:26
4, 0, L, L, 12:26
4, 1, L, L, 12:26
4, 2, L, L, 12:26
4, 3, L, L, 12:26
4, 4, L, L, 12:26
4, 5, L, L, 12:26
4, 6, L, L, 12:26
4, 7, L, L, 12:26
4, 8, L, L, 12:26
4, 9, L, L, 12:26
4, 10, L, H, 12:26
4, 11, L, H, 12:26
4, 12, L, H, 12:26
4, 13, L, L, 12:26
4, 14, L, L, 12:26
4, 15, L, L, 12:26
4, 16, M, M, 12:26
4, 17, L, L, 12:26
4, 18, L, L, 12:26
5, 0, L, L, 12:26
5, 1, L, L, 12:26
5, 2, L, L, 12:26
5, 3, L, L, 12:26
5, 4, L, L, 12:26
5, 5, L, L, 12:26
5, 6, L, L, 12:26
5, 7, L, L, 12:26
5, 8, L, L, 12:26
5, 9, L, L, 12:26
5, 10, L, L, 12:26
5, 11, L, L, 12:26
5, 12, L, L, 12:26
5, 13, L, L, 12:26
5, 14, L, L, 12:26
6, 0, L, L, 12:26
6, 1, L, L, 12:26
6, 2, L, L, 12:26
6, 3, L, L, 12:26
6, 4, L, L, 12:26
6, 5, L, L, 12:26
6, 6, L, L, 12:26
7, 0, L, L, 12:26
7, 1, L, L, 12:26
7, 2, L, L, 12:26
7, 3, L, L, 12:26
7, 4, L, L, 12:26
7, 5, M, M, 12:26
7, 6, L, L, 12:26
7, 7, L, L, 12:26
7, 8, L, L, 12:26
7, 9, H, M, 12:26
7, 10, H, L, 12:26
7, 11, L, L, 12:26
8, 0, L, L, 12:26
8, 1, L, L, 12:26
8, 2, L, L, 12:26
8, 3, L, L, 12:26
8, 4, L, L, 12:26
8, 5, L, L, 12:26
8, 6, L, L, 12:26
