#lineID, stationID, statusN, statusS, timestamp
0, 0, L, M, 6:59
0, 1, L, L, 6:59
0, 2, M, M, 6:59
0, 3, L, L, 6:59
0, 4, L, M, 6:59
0, 5, L, L, 6:59
0, 6, L, L, 6:59
0, 7, L, L, 6:59
0, 8, H, L, 6:59
0, 9, H, L, 6:59
0, 10, H, M, 6:59
0, 11, H, M, 6:59
0, 12, L, M, 6:59
0, 13, L, M, 6:59
0, 14, L, L, 6:59
0, 15, L, H, 6:59
0, 16, L, H, 6:59
0, 17, L, H, 6:59
0, 18, L, H, 6:59
0, 19, M, H, 6:59
0, 20, L, H, 6:59
0, 21, L, H, 6:59
0, 22, M, H, 6:59
0, 23, H, H, 6:59
0, 24, H, H, 6:59
0, 25, H, H, 6:59
0, 26, H, H, 6:59
0, 27, H, L, 6:59
0, 28, H, L, 6:59
0, 29, H, L, 6:59
0, 30, H, L, 6:59
0, 31, H, L, 6:59
0, 32, L, M, 6:59
0, 33, L, M, 6:59
0, 34, L, L, 6:59
0, 35, L, L, 6:59
0, 36, L, L, 6:59
1, 0, L, L, 6:59
1, 1, L, L, 6:59
1, 2, L, L, 6:59
1, 3, L, L, 6:59
1, 4, L, L, 6:59
1, 5, L, L, 6:59
1, 6, M, M, 6:59
1, 7, M, M, 6:59
1, 8, L, L, 6:59
1, 9, L, L, 6:59
1, 10, L, L, 6:59
1, 11, M, M, 6:59
2, 0, M, M, 6:59
2, 1, L, M, 6:59
2, 2, L, L, 6:59
2, 3, L, L, 6:59
2, 4, M, M, 6:59
2, 5, L, M, 6:59
2, 6, L, M, 6:59
2, 7, L, L, 6:59
2, 8, L, L, 6:59
2, 9, L, L, 6:59
2, 10, L, L, 6:59
2, 11, L, L, 6:59
2, 12, L, L, 6:59
2, 13, L, L, 6:59
2, 14, L, L, 6:59
2, 15, M, M, 6:59
2, 16, L, L, 6:59
2, 17, L, L, 6:59
2, 18, L, L, 6:59
2, 19, L, L, 6:59
2, 20, L, L, 6:59
2, 21, L, L, 6:59
2, 22, L, L, 6:59
2, 23, L, L, 6:59
2, 24, L, M, 6:59
3, 0, L, L, 6:59
3, 1, L, M, 6:59
3, 2, M, M, 6:59
3, 3, M, L, 6:59
3, 4, M, L, 6:59
3, 5, M, M, 6:59
3, 6, L, M, 6:59
3, 7, L, M, 6:59
4, 0, M, M, 7:02
4, 1, L, L, 7:02
4, 2, L, L, 7:02
4, 3, L, L, 7:02
4, 4, M, L, 7:02
4, 5, M, M, 7:02
4, 6, L, M, 7:02
4, 7, L, L, 7:02
4, 8, M, L, 7:02
4, 9, L, L, 7:02
4, 10, M, M, 7:02
4, 11, M, M, 7:02
4, 12, L, M, 7:02
4, 13, L, L, 7:02
4, 14, L, L, 7:02
4, 15, L, L, 7:02
4, 16, M, M, 7:02
4, 17, L, M, 7:02
4, 18, L, M, 7:02
5, 0, L, M, 7:02
5, 1, L, M, 7:02
5, 2, L, L, 7:02
5, 3, L, L, 7:02
5, 4, L, L, 7:02
5, 5, L, L, 7:02
5, 6, L, L, 7:02
5, 7, M, M, 7:02
5, 8, L, L, 7:02
5, 9, M, M, 7:02
5, 10, M, M, 7:02
5, 11, L, L, 7:02
5, 12, L, L, 7:02
5, 13, L, L, 7:02
5, 14, L, L, 7:02
6, 0, L, L, 7:02
6, 1, L, L, 7:02
6, 2, L, L, 7:02
6, 3, L, L, 7:02
6, 4, L, L, 7:02
6, 5, L, L, 7:02
6, 6, L, L, 7:02
7, 0, M, M, 7:02
7, 1, L, M, 7:02
7, 2, M, M, 7:02
7, 3, L, M, 7:02
7, 4, L, M, 7:02
7, 5, M, M, 7:02
7, 6, M, M, 7:02
7, 7, L, L, 7:02
7, 8, L, M, 7:02
7, 9, M, M, 7:02
7, 10, M, L, 7:02
7, 11, L, L, 7:02
8, 0, L, L, 7:02
8, 1, L, L, 7:02
8, 2, L, L, 7:02
8, 3, L, L, 7:02
8, 4, L, L, 7:02
8, 5, M, H, 7:02
8, 6, L, L, 7:02
