#lineID, stationID, statusN, statusS, timestamp
0, 0, L, M, 2:12
0, 1, L, L, 2:12
0, 2, M, M, 2:12
0, 3, L, L, 2:12
0, 4, M, L, 2:12
0, 5, L, L, 2:12
0, 6, L, L, 2:12
0, 7, H, L, 2:12
0, 8, H, L, 2:12
0, 9, H, L, 2:12
0, 10, H, M, 2:12
0, 11, H, M, 2:12
0, 12, H, M, 2:12
0, 13, H, L, 2:12
0, 14, H, L, 2:12
0, 15, H, H, 2:12
0, 16, H, H, 2:12
0, 17, H, H, 2:12
0, 18, L, L, 2:12
0, 19, L, H, 2:12
0, 20, L, H, 2:12
0, 21, L, H, 2:12
0, 22, M, L, 2:12
0, 23, L, M, 2:12
0, 24, L, L, 2:12
0, 25, L, L, 2:12
0, 26, M, M, 2:12
0, 27, L, L, 2:12
0, 28, L, L, 2:12
0, 29, L, L, 2:12
0, 30, M, L, 2:12
0, 31, M, L, 2:12
0, 32, L, M, 2:12
0, 33, L, M, 2:12
0, 34, L, L, 2:12
0, 35, L, L, 2:12
0, 36, L, L, 2:12
1, 0, L, L, 2:12
1, 1, L, L, 2:12
1, 2, L, L, 2:12
1, 3, L, L, 2:12
1, 4, L, L, 2:12
1, 5, L, L, 2:12
1, 6, M, M, 2:12
1, 7, M, M, 2:12
1, 8, L, L, 2:12
1, 9, L, L, 2:12
1, 10, L, L, 2:12
1, 11, L, L, 2:12
2, 0, H, H, 2:12
2, 1, L, M, 2:12
2, 2, L, L, 2:12
2, 3, L, L, 2:12
2, 4, M, M, 2:12
2, 5, M, M, 2:12
2, 6, L, L, 2:12
2, 7, L, L, 2:12
2, 8, L, L, 2:12
2, 9, L, L, 2:12
2, 10, L, L, 2:12
2, 11, L, L, 2:12
2, 12, L, L, 2:12
2, 13, L, L, 2:12
2, 14, M, L, 2:12
2, 15, M, M, 2:12
2, 16, L, M, 2:12
2, 17, L, L, 2:12
2, 18, L, L, 2:12
2, 19, L, L, 2:12
2, 20, L, L, 2:12
2, 21, L, L, 2:12
2, 22, M, L, 2:12
2, 23, M, L, 2:12
2, 24, M, L, 2:12
3, 0, L, L, 2:12
3, 1, H, M, 2:12
3, 2, H, M, 2:12
3, 3, H, L, 2:12
3, 4, H, L, 2:12
3, 5, H, L, 2:12
3, 6, L, L, 2:12
3, 7, L, M, 2:12
4, 0, L, L, 2:16
4, 1, L, L, 2:16
4, 2, L, L, 2:16
4, 3, M, L, 2:16
4, 4, M, H, 2:16
4, 5, M, H, 2:16
4, 6, M, H, 2:16
4, 7, L, L, 2:16
4, 8, M, L, 2:16
4, 9, L, L, 2:16
4, 10, H, H, 2:16
4, 11, H, H, 2:16
4, 12, H, H, 2:16
4, 13, H, L, 2:16
4, 14, H, H, 2:16
4, 15, H, H, 2:16
4, 16, H, H, 2:16
4, 17, H, H, 2:16
4, 18, M, H, 2:16
5, 0, M, M, 2:16
5, 1, M, M, 2:16
5, 2, L, L, 2:16
5, 3, L, L, 2:16
5, 4, L, L, 2:16
5, 5, L, L, 2:16
5, 6, L, L, 2:16
5, 7, H, L, 2:16
5, 8, H, L, 2:16
5, 9, H, H, 2:16
5, 10, H, H, 2:16
5, 11, L, H, 2:16
5, 12, L, L, 2:16
5, 13, L, L, 2:16
5, 14, L, L, 2:16
6, 0, L, L, 2:16
6, 1, L, L, 2:16
6, 2, L, L, 2:16
6, 3, L, L, 2:16
6, 4, L, L, 2:16
6, 5, M, M, 2:16
6, 6, M, M, 2:16
7, 0, L, L, 2:16
7, 1, L, L, 2:16
7, 2, L, L, 2:16
7, 3, L, L, 2:16
7, 4, L, L, 2:16
7, 5, L, L, 2:16
7, 6, L, L, 2:16
7, 7, L, L, 2:16
7, 8, M, M, 2:16
7, 9, M, H, 2:16
7, 10, L, H, 2:16
7, 11, M, H, 2:16
8, 0, L, L, 2:15
8, 1, L, L, 2:15
8, 2, L, L, 2:15
8, 3, L, L, 2:15
8, 4, L, L, 2:15
8, 5, L, L, 2:15
8, 6, L, L, 2:15
