#lineID, stationID, statusN, statusS, timestamp
0, 0, L, M, 4:10
0, 1, L, L, 4:10
0, 2, L, L, 4:10
0, 3, L, L, 4:10
0, 4, L, L, 4:10
0, 5, L, L, 4:10
0, 6, L, M, 4:10
0, 7, L, L, 4:10
0, 8, M, L, 4:10
0, 9, M, L, 4:10
0, 10, M, H, 4:10
0, 11, H, H, 4:10
0, 12, H, H, 4:10
0, 13, H, H, 4:10
0, 14, H, H, 4:10
0, 15, H, H, 4:10
0, 16, H, H, 4:10
0, 17, L, H, 4:10
0, 18, L, H, 4:10
0, 19, L, H, 4:10
0, 20, L, H, 4:10
0, 21, L, H, 4:10
0, 22, M, H, 4:10
0, 23, M, H, 4:10
0, 24, H, H, 4:10
0, 25, H, H, 4:10
0, 26, H, H, 4:10
0, 27, L, H, 4:10
0, 28, L, H, 4:10
0, 29, L, H, 4:10
0, 30, L, L, 4:10
0, 31, L, L, 4:10
0, 32, L, H, 4:10
0, 33, L, H, 4:10
0, 34, L, L, 4:10
0, 35, L, L, 4:10
0, 36, L, L, 4:10
1, 0, L, L, 4:04
1, 1, L, L, 4:04
1, 2, L, L, 4:04
1, 3, L, L, 4:04
1, 4, L, L, 4:04
1, 5, L, L, 4:04
1, 6, M, M, 4:04
1, 7, M, M, 4:04
1, 8, L, L, 4:04
1, 9, L, L, 4:04
1, 10, L, L, 4:04
1, 11, M, M, 4:04
2, 0, H, H, 4:04
2, 1, M, M, 4:04
2, 2, L, L, 4:04
2, 3, L, L, 4:04
2, 4, M, M, 4:04
2, 5, M, M, 4:04
2, 6, M, M, 4:04
2, 7, L, L, 4:04
2, 8, L, L, 4:04
2, 9, M, M, 4:04
2, 10, L, L, 4:04
2, 11, M, M, 4:04
2, 12, L, L, 4:04
2, 13, L, L, 4:04
2, 14, M, M, 4:04
2, 15, M, M, 4:04
2, 16, L, L, 4:04
2, 17, L, L, 4:04
2, 18, L, L, 4:04
2, 19, L, L, 4:04
2, 20, L, L, 4:04
2, 21, L, L, 4:04
2, 22, L, L, 4:04
2, 23, M, L, 4:04
2, 24, M, L, 4:04
3, 0, M, M, 4:04
3, 1, H, M, 4:04
3, 2, H, L, 4:04
3, 3, M, L, 4:04
3, 4, M, L, 4:04
3, 5, H, M, 4:04
3, 6, L, L, 4:04
3, 7, L, L, 4:04
4, 0, M, L, 4:14
4, 1, M, L, 4:14
4, 2, L, L, 4:14
4, 3, H, L, 4:14
4, 4, H, L, 4:14
4, 5, H, H, 4:14
4, 6, L, H, 4:14
4, 7, L, H, 4:14
4, 8, L, L, 4:14
4, 9, L, L, 4:14
4, 10, M, H, 4:14
4, 11, L, H, 4:14
4, 12, L, H, 4:14
4, 13, L, L, 4:14
4, 14, L, H, 4:14
4, 15, L, H, 4:14
4, 16, M, H, 4:14
4, 17, M, H, 4:14
4, 18, L, M, 4:14
5, 0, M, M, 4:14
5, 1, M, M, 4:14
5, 2, L, L, 4:14
5, 3, L, L, 4:14
5, 4, L, L, 4:14
5, 5, L, L, 4:14
5, 6, H, H, 4:14
5, 7, H, H, 4:14
5, 8, H, H, 4:14
5, 9, H, L, 4:14
5, 10, H, H, 4:14
5, 11, L, H, 4:14
5, 12, L, H, 4:14
5, 13, L, H, 4:14
5, 14, L, L, 4:14
6, 0, L, L, 3:53
6, 1, L, L, 3:53
6, 2, L, L, 3:53
6, 3, L, L, 3:53
6, 4, L, L, 3:53
6, 5, L, L, 3:53
6, 6, M, M, 3:53
7, 0, M, M, 3:43
7, 1, L, L, 3:43
7, 2, M, M, 3:43
7, 3, M, M, 3:43
7, 4, L, M, 3:43
7, 5, M, M, 3:43
7, 6, L, L, 3:43
7, 7, M, H, 3:43
7, 8, L, H, 3:43
7, 9, L, M, 3:43
7, 10, M, M, 3:43
7, 11, M, M, 3:43
8, 0, L, H, 4:01
8, 1, L, L, 4:01
8, 2, L, L, 4:01
8, 3, L, L, 4:01
8, 4, L, L, 4:01
8, 5, L, L, 4:01
8, 6, L, L, 4:01
