#lineID, stationID, statusN, statusS, timestamp
0, 0, M, H, 4:01
0, 1, L, L, 4:01
0, 2, M, M, 4:01
0, 3, L, L, 4:01
0, 4, M, M, 4:01
0, 5, M, M, 4:01
0, 6, L, L, 4:01
0, 7, L, L, 4:01
0, 8, L, L, 4:01
0, 9, H, L, 4:01
0, 10, H, M, 4:01
0, 11, H, M, 4:01
0, 12, H, M, 4:01
0, 13, H, M, 4:01
0, 14, H, M, 4:01
0, 15, H, L, 4:01
0, 16, H, M, 4:01
0, 17, M, L, 4:01
0, 18, L, L, 4:01
0, 19, L, M, 4:01
0, 20, L, H, 4:01
0, 21, L, H, 4:01
0, 22, L, H, 4:01
0, 23, L, H, 4:01
0, 24, M, H, 4:01
0, 25, H, L, 4:01
0, 26, H, L, 4:01
0, 27, H, L, 4:01
0, 28, H, L, 4:01
0, 29, H, L, 4:01
0, 30, L, L, 4:01
0, 31, L, L, 4:01
0, 32, L, H, 4:01
0, 33, L, H, 4:01
0, 34, L, L, 4:01
0, 35, L, L, 4:01
0, 36, L, L, 4:01
1, 0, M, M, 3:57
1, 1, L, L, 3:57
1, 2, L, L, 3:57
1, 3, L, L, 3:57
1, 4, L, L, 3:57
1, 5, L, L, 3:57
1, 6, M, M, 3:57
1, 7, M, M, 3:57
1, 8, L, L, 3:57
1, 9, L, L, 3:57
1, 10, L, L, 3:57
1, 11, M, M, 3:57
2, 0, H, H, 3:57
2, 1, M, M, 3:57
2, 2, L, L, 3:57
2, 3, L, L, 3:57
2, 4, M, M, 3:57
2, 5, M, M, 3:57
2, 6, L, M, 3:57
2, 7, L, M, 3:57
2, 8, M, M, 3:57
2, 9, L, L, 3:57
2, 10, L, L, 3:57
2, 11, M, M, 3:57
2, 12, M, M, 3:57
2, 13, L, L, 3:57
2, 14, M, L, 3:57
2, 15, M, M, 3:57
2, 16, L, M, 3:57
2, 17, M, L, 3:57
2, 18, M, M, 3:57
2, 19, M, L, 3:57
2, 20, L, L, 3:57
2, 21, M, L, 3:57
2, 22, M, L, 3:57
2, 23, M, L, 3:57
2, 24, M, M, 3:57
3, 0, L, L, 3:57
3, 1, M, M, 3:57
3, 2, M, M, 3:57
3, 3, M, L, 3:57
3, 4, M, L, 3:57
3, 5, M, M, 3:57
3, 6, L, M, 3:57
3, 7, L, M, 3:57
4, 0, M, L, 3:57
4, 1, M, L, 3:57
4, 2, H, L, 3:57
4, 3, H, L, 3:57
4, 4, H, H, 3:57
4, 5, H, H, 3:57
4, 6, L, H, 3:57
4, 7, L, H, 3:57
4, 8, L, L, 3:57
4, 9, L, L, 3:57
4, 10, M, M, 3:57
4, 11, M, M, 3:57
4, 12, M, M, 3:57
4, 13, L, L, 3:57
4, 14, H, L, 3:57
4, 15, H, H, 3:57
4, 16, H, H, 3:57
4, 17, M, H, 3:57
4, 18, L, H, 3:57
5, 0, M, M, 3:58
5, 1, M, M, 3:58
5, 2, L, L, 3:58
5, 3, L, L, 3:58
5, 4, L, L, 3:58
5, 5, L, M, 3:58
5, 6, H, H, 3:58
5, 7, H, H, 3:58
5, 8, H, H, 3:58
5, 9, H, H, 3:58
5, 10, H, H, 3:58
5, 11, H, H, 3:58
5, 12, L, H, 3:58
5, 13, L, H, 3:58
5, 14, M, H, 3:58
6, 0, L, L, 3:58
6, 1, M, L, 3:58
6, 2, L, L, 3:58
6, 3, L, L, 3:58
6, 4, L, L, 3:58
6, 5, L, L, 3:58
6, 6, L, L, 3:58
7, 0, M, M, 3:58
7, 1, M, M, 3:58
7, 2, L, L, 3:58
7, 3, L, M, 3:58
7, 4, L, M, 3:58
7, 5, M, H, 3:58
7, 6, M, H, 3:58
7, 7, L, H, 3:58
7, 8, L, L, 3:58
7, 9, M, M, 3:58
7, 10, M, M, 3:58
7, 11, L, L, 3:58
8, 0, L, H, 3:58
8, 1, L, L, 3:58
8, 2, L, L, 3:58
8, 3, L, L, 3:58
8, 4, L, L, 3:58
8, 5, L, L, 3:58
8, 6, L, L, 3:58
