#lineID, stationID, statusN, statusS, timestamp
0, 0, L, M, 1:27
0, 1, L, L, 1:27
0, 2, L, L, 1:27
0, 3, L, L, 1:27
0, 4, L, L, 1:27
0, 5, L, L, 1:27
0, 6, L, L, 1:27
0, 7, L, L, 1:27
0, 8, L, L, 1:27
0, 9, L, L, 1:27
0, 10, L, M, 1:27
0, 11, H, M, 1:27
0, 12, H, L, 1:27
0, 13, H, L, 1:27
0, 14, H, L, 1:27
0, 15, H, L, 1:27
0, 16, H, L, 1:27
0, 17, L, L, 1:27
0, 18, L, L, 1:27
0, 19, M, L, 1:27
0, 20, L, L, 1:27
0, 21, L, M, 1:27
0, 22, L, L, 1:27
0, 23, L, M, 1:27
0, 24, L, L, 1:27
0, 25, L, L, 1:27
0, 26, M, M, 1:27
0, 27, L, L, 1:27
0, 28, L, M, 1:27
0, 29, L, L, 1:27
0, 30, L, L, 1:27
0, 31, M, L, 1:27
0, 32, L, H, 1:27
0, 33, L, H, 1:27
0, 34, L, L, 1:27
0, 35, L, L, 1:27
0, 36, L, L, 1:27
1, 0, L, L, 1:19
1, 1, L, L, 1:19
1, 2, L, L, 1:19
1, 3, L, L, 1:19
1, 4, L, L, 1:19
1, 5, L, L, 1:19
1, 6, M, M, 1:19
1, 7, M, M, 1:19
1, 8, L, L, 1:19
1, 9, L, L, 1:19
1, 10, L, L, 1:19
1, 11, L, L, 1:19
2, 0, H, M, 1:19
2, 1, M, M, 1:19
2, 2, L, L, 1:19
2, 3, L, L, 1:19
2, 4, M, M, 1:19
2, 5, M, M, 1:19
2, 6, L, L, 1:19
2, 7, L, L, 1:19
2, 8, L, L, 1:19
2, 9, L, L, 1:19
2, 10, L, L, 1:19
2, 11, M, M, 1:19
2, 12, L, L, 1:19
2, 13, L, L, 1:19
2, 14, M, L, 1:19
2, 15, M, M, 1:19
2, 16, L, M, 1:19
2, 17, L, L, 1:19
2, 18, L, L, 1:19
2, 19, L, L, 1:19
2, 20, L, L, 1:19
2, 21, L, L, 1:19
2, 22, M, L, 1:19
2, 23, M, L, 1:19
2, 24, M, M, 1:19
3, 0, L, M, 1:19
3, 1, M, L, 1:19
3, 2, M, L, 1:19
3, 3, L, L, 1:19
3, 4, M, L, 1:19
3, 5, M, M, 1:19
3, 6, L, L, 1:19
3, 7, M, M, 1:19
4, 0, M, L, 1:19
4, 1, M, L, 1:19
4, 2, L, L, 1:19
4, 3, L, H, 1:19
4, 4, L, H, 1:19
4, 5, M, H, 1:19
4, 6, M, H, 1:19
4, 7, L, H, 1:19
4, 8, L, L, 1:19
4, 9, M, L, 1:19
4, 10, M, L, 1:19
4, 11, M, M, 1:19
4, 12, L, L, 1:19
4, 13, H, L, 1:19
4, 14, H, L, 1:19
4, 15, H, L, 1:19
4, 16, H, M, 1:19
4, 17, L, M, 1:19
4, 18, L, L, 1:19
5, 0, M, M, 1:20
5, 1, M, M, 1:20
5, 2, L, L, 1:20
5, 3, L, L, 1:20
5, 4, L, L, 1:20
5, 5, L, L, 1:20
5, 6, L, L, 1:20
5, 7, L, L, 1:20
5, 8, M, L, 1:20
5, 9, M, M, 1:20
5, 10, M, M, 1:20
5, 11, M, M, 1:20
5, 12, L, L, 1:20
5, 13, M, L, 1:20
5, 14, L, L, 1:20
6, 0, L, L, 1:20
6, 1, L, L, 1:20
6, 2, L, L, 1:20
6, 3, L, L, 1:20
6, 4, L, L, 1:20
6, 5, M, M, 1:20
6, 6, M, M, 1:20
7, 0, M, M, 1:20
7, 1, M, M, 1:20
7, 2, L, L, 1:20
7, 3, L, L, 1:20
7, 4, L, L, 1:20
7, 5, M, M, 1:20
7, 6, L, M, 1:20
7, 7, L, M, 1:20
7, 8, L, M, 1:20
7, 9, M, M, 1:20
7, 10, L, L, 1:20
7, 11, M, M, 1:20
8, 0, L, H, 12:43
8, 1, L, L, 12:43
8, 2, L, L, 12:43
8, 3, L, L, 12:43
8, 4, L, L, 12:43
8, 5, L, L, 12:43
8, 6, L, L, 12:43
