#lineID, stationID, statusN, statusS, timestamp
0, 0, L, M, 10:59
0, 1, L, L, 10:59
0, 2, M, M, 10:59
0, 3, L, L, 10:59
0, 4, L, L, 10:59
0, 5, L, L, 10:59
0, 6, L, L, 10:59
0, 7, L, L, 10:59
0, 8, L, L, 10:59
0, 9, H, L, 10:59
0, 10, H, M, 10:59
0, 11, H, M, 10:59
0, 12, H, M, 10:59
0, 13, H, L, 10:59
0, 14, H, L, 10:59
0, 15, H, L, 10:59
0, 16, H, L, 10:59
0, 17, H, L, 10:59
0, 18, L, L, 10:59
0, 19, L, H, 10:59
0, 20, L, H, 10:59
0, 21, L, H, 10:59
0, 22, L, H, 10:59
0, 23, H, H, 10:59
0, 24, H, H, 10:59
0, 25, H, H, 10:59
0, 26, H, H, 10:59
0, 27, H, L, 10:59
0, 28, H, H, 10:59
0, 29, H, H, 10:59
0, 30, L, L, 10:59
0, 31, L, L, 10:59
0, 32, L, H, 10:59
0, 33, L, H, 10:59
0, 34, L, L, 10:59
0, 35, L, L, 10:59
0, 36, L, L, 10:59
1, 0, L, L, 10:57
1, 1, L, L, 10:57
1, 2, L, L, 10:57
1, 3, L, L, 10:57
1, 4, L, L, 10:57
1, 5, L, L, 10:57
1, 6, M, M, 10:57
1, 7, M, M, 10:57
1, 8, L, L, 10:57
1, 9, L, L, 10:57
1, 10, L, L, 10:57
1, 11, M, L, 10:57
2, 0, M, M, 10:57
2, 1, M, M, 10:57
2, 2, L, L, 10:57
2, 3, L, L, 10:57
2, 4, M, M, 10:57
2, 5, M, M, 10:57
2, 6, M, M, 10:57
2, 7, L, L, 10:57
2, 8, L, L, 10:57
2, 9, L, L, 10:57
2, 10, L, L, 10:57
2, 11, L, L, 10:57
2, 12, L, L, 10:57
2, 13, L, L, 10:57
2, 14, M, L, 10:57
2, 15, M, M, 10:57
2, 16, L, L, 10:57
2, 17, L, L, 10:57
2, 18, L, L, 10:57
2, 19, L, L, 10:57
2, 20, L, L, 10:57
2, 21, L, L, 10:57
2, 22, M, L, 10:57
2, 23, M, L, 10:57
2, 24, M, L, 10:57
3, 0, L, L, 10:57
3, 1, H, M, 10:57
3, 2, H, L, 10:57
3, 3, H, L, 10:57
3, 4, H, L, 10:57
3, 5, H, M, 10:57
3, 6, L, L, 10:57
3, 7, L, L, 10:57
4, 0, L, L, 10:57
4, 1, L, L, 10:57
4, 2, L, L, 10:57
4, 3, H, L, 10:57
4, 4, H, M, 10:57
4, 5, H, H, 10:57
4, 6, L, H, 10:57
4, 7, M, H, 10:57
4, 8, L, L, 10:57
4, 9, L, L, 10:57
4, 10, H, M, 10:57
4, 11, H, M, 10:57
4, 12, L, L, 10:57
4, 13, H, L, 10:57
4, 14, H, L, 10:57
4, 15, H, M, 10:57
4, 16, H, H, 10:57
4, 17, L, H, 10:57
4, 18, L, H, 10:57
5, 0, M, M, 11:02
5, 1, M, M, 11:02
5, 2, L, M, 11:02
5, 3, L, L, 11:02
5, 4, L, L, 11:02
5, 5, L, L, 11:02
5, 6, H, L, 11:02
5, 7, H, L, 11:02
5, 8, H, L, 11:02
5, 9, H, M, 11:02
5, 10, H, H, 11:02
5, 11, L, H, 11:02
5, 12, L, H, 11:02
5, 13, L, H, 11:02
5, 14, L, H, 11:02
6, 0, L, H, 10:57
6, 1, L, H, 10:57
6, 2, L, L, 10:57
6, 3, L, L, 10:57
6, 4, L, L, 10:57
6, 5, M, M, 10:57
6, 6, M, M, 10:57
7, 0, L, L, 10:57
7, 1, M, H, 10:57
7, 2, L, H, 10:57
7, 3, L, H, 10:57
7, 4, L, H, 10:57
7, 5, M, H, 10:57
7, 6, M, H, 10:57
7, 7, L, L, 10:57
7, 8, L, L, 10:57
7, 9, M, M, 10:57
7, 10, M, M, 10:57
7, 11, M, M, 10:57
8, 0, L, H, 10:59
8, 1, L, H, 10:59
8, 2, L, H, 10:59
8, 3, L, L, 10:59
8, 4, L, L, 10:59
8, 5, L, M, 10:59
8, 6, L, L, 10:59
