#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 1:58
0, 1, L, L, 1:58
0, 2, M, M, 1:58
0, 3, L, L, 1:58
0, 4, M, L, 1:58
0, 5, M, L, 1:58
0, 6, L, M, 1:58
0, 7, L, L, 1:58
0, 8, L, L, 1:58
0, 9, L, L, 1:58
0, 10, L, H, 1:58
0, 11, M, H, 1:58
0, 12, L, H, 1:58
0, 13, L, H, 1:58
0, 14, L, H, 1:58
0, 15, M, H, 1:58
0, 16, M, H, 1:58
0, 17, M, L, 1:58
0, 18, L, L, 1:58
0, 19, L, H, 1:58
0, 20, H, H, 1:58
0, 21, H, H, 1:58
0, 22, H, L, 1:58
0, 23, M, M, 1:58
0, 24, H, L, 1:58
0, 25, H, L, 1:58
0, 26, H, M, 1:58
0, 27, L, L, 1:58
0, 28, L, M, 1:58
0, 29, H, L, 1:58
0, 30, H, L, 1:58
0, 31, H, L, 1:58
0, 32, L, H, 1:58
0, 33, L, H, 1:58
0, 34, L, L, 1:58
0, 35, L, L, 1:58
0, 36, L, L, 1:58
1, 0, L, L, 1:56
1, 1, L, L, 1:56
1, 2, L, L, 1:56
1, 3, L, L, 1:56
1, 4, L, L, 1:56
1, 5, M, L, 1:56
1, 6, M, M, 1:56
1, 7, M, M, 1:56
1, 8, L, L, 1:56
1, 9, L, L, 1:56
1, 10, L, L, 1:56
1, 11, M, L, 1:56
2, 0, M, M, 1:56
2, 1, M, M, 1:56
2, 2, L, L, 1:56
2, 3, L, L, 1:56
2, 4, M, M, 1:56
2, 5, M, M, 1:56
2, 6, L, M, 1:56
2, 7, L, M, 1:56
2, 8, M, M, 1:56
2, 9, M, L, 1:56
2, 10, L, L, 1:56
2, 11, L, L, 1:56
2, 12, L, L, 1:56
2, 13, L, L, 1:56
2, 14, M, L, 1:56
2, 15, M, M, 1:56
2, 16, L, M, 1:56
2, 17, L, L, 1:56
2, 18, L, L, 1:56
2, 19, L, L, 1:56
2, 20, L, L, 1:56
2, 21, L, L, 1:56
2, 22, L, L, 1:56
2, 23, L, L, 1:56
2, 24, L, L, 1:56
3, 0, M, L, 1:56
3, 1, H, M, 1:56
3, 2, H, M, 1:56
3, 3, H, L, 1:56
3, 4, H, L, 1:56
3, 5, M, M, 1:56
3, 6, L, L, 1:56
3, 7, L, L, 1:56
4, 0, L, L, 2:00
4, 1, L, L, 2:00
4, 2, M, L, 2:00
4, 3, H, M, 2:00
4, 4, H, M, 2:00
4, 5, H, M, 2:00
4, 6, H, L, 2:00
4, 7, L, L, 2:00
4, 8, H, L, 2:00
4, 9, H, L, 2:00
4, 10, H, H, 2:00
4, 11, H, H, 2:00
4, 12, H, H, 2:00
4, 13, H, H, 2:00
4, 14, H, L, 2:00
4, 15, H, L, 2:00
4, 16, H, H, 2:00
4, 17, H, H, 2:00
4, 18, H, H, 2:00
5, 0, M, M, 1:56
5, 1, M, M, 1:56
5, 2, L, L, 1:56
5, 3, L, L, 1:56
5, 4, L, L, 1:56
5, 5, L, L, 1:56
5, 6, L, H, 1:56
5, 7, H, H, 1:56
5, 8, H, M, 1:56
5, 9, H, M, 1:56
5, 10, H, M, 1:56
5, 11, L, M, 1:56
5, 12, L, L, 1:56
5, 13, L, L, 1:56
5, 14, L, L, 1:56
6, 0, L, L, 1:56
6, 1, L, L, 1:56
6, 2, L, L, 1:56
6, 3, L, L, 1:56
6, 4, L, L, 1:56
6, 5, L, L, 1:56
6, 6, L, L, 1:56
7, 0, L, L, 1:56
7, 1, L, L, 1:56
7, 2, L, L, 1:56
7, 3, L, L, 1:56
7, 4, L, L, 1:56
7, 5, M, M, 1:56
7, 6, M, M, 1:56
7, 7, L, M, 1:56
7, 8, L, L, 1:56
7, 9, M, M, 1:56
7, 10, M, M, 1:56
7, 11, M, M, 1:56
8, 0, L, L, 1:53
8, 1, L, L, 1:53
8, 2, L, L, 1:53
8, 3, L, L, 1:53
8, 4, L, L, 1:53
8, 5, L, L, 1:53
8, 6, H, L, 1:53
