#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 12:27
0, 1, L, L, 12:27
0, 2, M, M, 12:27
0, 3, L, L, 12:27
0, 4, M, L, 12:27
0, 5, M, L, 12:27
0, 6, L, M, 12:27
0, 7, L, L, 12:27
0, 8, L, L, 12:27
0, 9, L, L, 12:27
0, 10, L, H, 12:27
0, 11, M, H, 12:27
0, 12, L, H, 12:27
0, 13, L, H, 12:27
0, 14, L, H, 12:27
0, 15, M, H, 12:27
0, 16, M, H, 12:27
0, 17, M, L, 12:27
0, 18, L, L, 12:27
0, 19, L, L, 12:27
0, 20, L, L, 12:27
0, 21, M, L, 12:27
0, 22, M, L, 12:27
0, 23, M, L, 12:27
0, 24, L, L, 12:27
0, 25, L, L, 12:27
0, 26, M, M, 12:27
0, 27, L, L, 12:27
0, 28, L, M, 12:27
0, 29, L, L, 12:27
0, 30, L, L, 12:27
0, 31, M, L, 12:27
0, 32, L, H, 12:27
0, 33, L, H, 12:27
0, 34, L, L, 12:27
0, 35, L, L, 12:27
0, 36, L, L, 12:27
1, 0, L, L, 12:28
1, 1, L, L, 12:28
1, 2, L, L, 12:28
1, 3, L, L, 12:28
1, 4, L, L, 12:28
1, 5, M, L, 12:28
1, 6, M, M, 12:28
1, 7, M, M, 12:28
1, 8, L, L, 12:28
1, 9, L, L, 12:28
1, 10, L, L, 12:28
1, 11, M, L, 12:28
2, 0, M, M, 12:28
2, 1, M, M, 12:28
2, 2, L, L, 12:28
2, 3, L, L, 12:28
2, 4, M, M, 12:28
2, 5, M, M, 12:28
2, 6, L, M, 12:28
2, 7, L, M, 12:28
2, 8, L, M, 12:28
2, 9, L, L, 12:28
2, 10, L, L, 12:28
2, 11, L, L, 12:28
2, 12, L, L, 12:28
2, 13, L, L, 12:28
2, 14, M, L, 12:28
2, 15, M, M, 12:28
2, 16, L, M, 12:28
2, 17, L, L, 12:28
2, 18, L, L, 12:28
2, 19, L, L, 12:28
2, 20, L, L, 12:28
2, 21, L, L, 12:28
2, 22, L, L, 12:28
2, 23, L, L, 12:28
2, 24, L, L, 12:28
3, 0, M, L, 12:28
3, 1, H, M, 12:28
3, 2, H, M, 12:28
3, 3, H, L, 12:28
3, 4, H, L, 12:28
3, 5, M, M, 12:28
3, 6, L, L, 12:28
3, 7, L, L, 12:28
4, 0, L, L, 12:29
4, 1, L, L, 12:29
4, 2, M, L, 12:29
4, 3, M, H, 12:29
4, 4, L, H, 12:29
4, 5, M, H, 12:29
4, 6, M, H, 12:29
4, 7, L, H, 12:29
4, 8, H, L, 12:29
4, 9, H, L, 12:29
4, 10, H, H, 12:29
4, 11, H, H, 12:29
4, 12, H, H, 12:29
4, 13, H, H, 12:29
4, 14, H, L, 12:29
4, 15, H, L, 12:29
4, 16, H, H, 12:29
4, 17, H, H, 12:29
4, 18, H, H, 12:29
5, 0, M, M, 12:29
5, 1, M, M, 12:29
5, 2, L, L, 12:29
5, 3, L, L, 12:29
5, 4, L, L, 12:29
5, 5, L, L, 12:29
5, 6, L, L, 12:29
5, 7, M, L, 12:29
5, 8, H, L, 12:29
5, 9, H, M, 12:29
5, 10, H, M, 12:29
5, 11, L, M, 12:29
5, 12, L, L, 12:29
5, 13, L, L, 12:29
5, 14, L, L, 12:29
6, 0, L, L, 12:29
6, 1, L, L, 12:29
6, 2, L, L, 12:29
6, 3, L, L, 12:29
6, 4, L, L, 12:29
6, 5, L, L, 12:29
6, 6, L, L, 12:29
7, 0, L, L, 12:29
7, 1, L, L, 12:29
7, 2, L, L, 12:29
7, 3, L, L, 12:29
7, 4, L, L, 12:29
7, 5, M, M, 12:29
7, 6, M, M, 12:29
7, 7, L, M, 12:29
7, 8, L, L, 12:29
7, 9, M, M, 12:29
7, 10, M, M, 12:29
7, 11, M, M, 12:29
8, 0, L, H, 12:29
8, 1, L, L, 12:29
8, 2, L, L, 12:29
8, 3, L, L, 12:29
8, 4, L, L, 12:29
8, 5, L, L, 12:29
8, 6, L, L, 12:29
