#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 1:30
0, 1, L, L, 1:30
0, 2, M, M, 1:30
0, 3, L, L, 1:30
0, 4, M, L, 1:30
0, 5, M, L, 1:30
0, 6, L, M, 1:30
0, 7, L, L, 1:30
0, 8, L, L, 1:30
0, 9, L, L, 1:30
0, 10, L, H, 1:30
0, 11, M, H, 1:30
0, 12, L, H, 1:30
0, 13, L, H, 1:30
0, 14, L, H, 1:30
0, 15, M, H, 1:30
0, 16, M, H, 1:30
0, 17, M, L, 1:30
0, 18, L, L, 1:30
0, 19, L, L, 1:30
0, 20, M, L, 1:30
0, 21, M, L, 1:30
0, 22, M, L, 1:30
0, 23, M, H, 1:30
0, 24, L, H, 1:30
0, 25, L, H, 1:30
0, 26, M, M, 1:30
0, 27, L, L, 1:30
0, 28, L, M, 1:30
0, 29, L, L, 1:30
0, 30, L, L, 1:30
0, 31, M, L, 1:30
0, 32, L, H, 1:30
0, 33, L, H, 1:30
0, 34, L, L, 1:30
0, 35, L, L, 1:30
0, 36, L, L, 1:30
1, 0, L, L, 1:26
1, 1, L, L, 1:26
1, 2, L, L, 1:26
1, 3, L, L, 1:26
1, 4, L, L, 1:26
1, 5, M, L, 1:26
1, 6, M, M, 1:26
1, 7, M, M, 1:26
1, 8, L, L, 1:26
1, 9, L, L, 1:26
1, 10, L, L, 1:26
1, 11, M, L, 1:26
2, 0, M, M, 1:27
2, 1, M, M, 1:27
2, 2, L, L, 1:27
2, 3, L, L, 1:27
2, 4, M, M, 1:27
2, 5, M, M, 1:27
2, 6, L, M, 1:27
2, 7, L, M, 1:27
2, 8, L, M, 1:27
2, 9, L, L, 1:27
2, 10, L, L, 1:27
2, 11, L, L, 1:27
2, 12, L, L, 1:27
2, 13, L, L, 1:27
2, 14, M, L, 1:27
2, 15, M, M, 1:27
2, 16, L, M, 1:27
2, 17, L, L, 1:27
2, 18, L, L, 1:27
2, 19, L, L, 1:27
2, 20, L, L, 1:27
2, 21, L, L, 1:27
2, 22, L, L, 1:27
2, 23, L, L, 1:27
2, 24, L, L, 1:27
3, 0, M, L, 1:27
3, 1, H, M, 1:27
3, 2, H, M, 1:27
3, 3, H, L, 1:27
3, 4, H, L, 1:27
3, 5, M, M, 1:27
3, 6, L, L, 1:27
3, 7, L, L, 1:27
4, 0, L, L, 1:29
4, 1, L, L, 1:29
4, 2, M, L, 1:29
4, 3, M, M, 1:29
4, 4, L, M, 1:29
4, 5, M, H, 1:29
4, 6, M, H, 1:29
4, 7, L, L, 1:29
4, 8, H, L, 1:29
4, 9, H, L, 1:29
4, 10, H, H, 1:29
4, 11, H, H, 1:29
4, 12, H, H, 1:29
4, 13, H, H, 1:29
4, 14, H, L, 1:29
4, 15, H, L, 1:29
4, 16, H, H, 1:29
4, 17, H, H, 1:29
4, 18, H, H, 1:29
5, 0, M, M, 1:29
5, 1, M, M, 1:29
5, 2, L, L, 1:29
5, 3, L, L, 1:29
5, 4, L, L, 1:29
5, 5, L, L, 1:29
5, 6, L, H, 1:29
5, 7, H, H, 1:29
5, 8, H, M, 1:29
5, 9, H, M, 1:29
5, 10, H, M, 1:29
5, 11, L, M, 1:29
5, 12, L, L, 1:29
5, 13, L, L, 1:29
5, 14, L, L, 1:29
6, 0, L, L, 1:26
6, 1, L, L, 1:26
6, 2, L, L, 1:26
6, 3, L, L, 1:26
6, 4, L, L, 1:26
6, 5, L, L, 1:26
6, 6, L, L, 1:26
7, 0, L, L, 1:12
7, 1, L, L, 1:12
7, 2, L, L, 1:12
7, 3, L, L, 1:12
7, 4, L, L, 1:12
7, 5, M, M, 1:12
7, 6, M, M, 1:12
7, 7, L, M, 1:12
7, 8, L, L, 1:12
7, 9, M, M, 1:12
7, 10, M, M, 1:12
7, 11, M, M, 1:12
8, 0, L, L, 1:26
8, 1, L, L, 1:26
8, 2, L, L, 1:26
8, 3, L, L, 1:26
8, 4, L, L, 1:26
8, 5, L, L, 1:26
8, 6, M, L, 1:26
