#lineID, stationID, statusN, statusS, timestamp
0, 0, M, H, 7:36
0, 1, L, L, 7:36
0, 2, M, L, 7:36
0, 3, L, L, 7:36
0, 4, L, L, 7:36
0, 5, L, L, 7:36
0, 6, L, L, 7:36
0, 7, L, L, 7:36
0, 8, H, L, 7:36
0, 9, H, L, 7:36
0, 10, H, L, 7:36
0, 11, H, L, 7:36
0, 12, H, L, 7:36
0, 13, H, L, 7:36
0, 14, H, L, 7:36
0, 15, H, L, 7:36
0, 16, H, L, 7:36
0, 17, H, L, 7:36
0, 18, H, L, 7:36
0, 19, H, L, 7:36
0, 20, H, L, 7:36
0, 21, H, L, 7:36
0, 22, H, L, 7:36
0, 23, H, L, 7:36
0, 24, H, L, 7:36
0, 25, H, L, 7:36
0, 26, H, L, 7:36
0, 27, L, L, 7:36
0, 28, H, H, 7:36
0, 29, H, H, 7:36
0, 30, H, L, 7:36
0, 31, H, L, 7:36
0, 32, L, M, 7:36
0, 33, L, M, 7:36
0, 34, L, L, 7:36
0, 35, L, L, 7:36
0, 36, L, L, 7:36
1, 0, L, L, 7:36
1, 1, L, L, 7:36
1, 2, L, L, 7:36
1, 3, L, L, 7:36
1, 4, L, L, 7:36
1, 5, M, L, 7:36
1, 6, M, M, 7:36
1, 7, M, M, 7:36
1, 8, L, L, 7:36
1, 9, L, L, 7:36
1, 10, M, L, 7:36
1, 11, M, L, 7:36
2, 0, M, M, 7:36
2, 1, L, L, 7:36
2, 2, L, L, 7:36
2, 3, L, L, 7:36
2, 4, L, L, 7:36
2, 5, L, L, 7:36
2, 6, L, L, 7:36
2, 7, L, L, 7:36
2, 8, L, L, 7:36
2, 9, L, L, 7:36
2, 10, L, L, 7:36
2, 11, L, L, 7:36
2, 12, L, L, 7:36
2, 13, L, L, 7:36
2, 14, M, L, 7:36
2, 15, M, M, 7:36
2, 16, L, M, 7:36
2, 17, L, L, 7:36
2, 18, L, L, 7:36
2, 19, L, L, 7:36
2, 20, L, L, 7:36
2, 21, L, L, 7:36
2, 22, M, L, 7:36
2, 23, M, L, 7:36
2, 24, M, L, 7:36
3, 0, L, L, 7:36
3, 1, M, M, 7:36
3, 2, M, M, 7:36
3, 3, L, L, 7:36
3, 4, L, L, 7:36
3, 5, M, M, 7:36
3, 6, L, L, 7:36
3, 7, L, L, 7:36
4, 0, M, M, 7:45
4, 1, M, L, 7:45
4, 2, L, L, 7:45
4, 3, L, L, 7:45
4, 4, M, L, 7:45
4, 5, M, M, 7:45
4, 6, L, M, 7:45
4, 7, L, L, 7:45
4, 8, M, L, 7:45
4, 9, L, L, 7:45
4, 10, H, L, 7:45
4, 11, H, M, 7:45
4, 12, H, M, 7:45
4, 13, H, M, 7:45
4, 14, H, L, 7:45
4, 15, H, L, 7:45
4, 16, H, M, 7:45
4, 17, M, M, 7:45
4, 18, M, M, 7:45
5, 0, L, M, 7:45
5, 1, M, M, 7:45
5, 2, M, M, 7:45
5, 3, L, L, 7:45
5, 4, L, L, 7:45
5, 5, L, L, 7:45
5, 6, M, L, 7:45
5, 7, M, L, 7:45
5, 8, L, L, 7:45
5, 9, M, M, 7:45
5, 10, M, M, 7:45
5, 11, L, M, 7:45
5, 12, L, M, 7:45
5, 13, M, M, 7:45
5, 14, L, M, 7:45
6, 0, L, M, 7:45
6, 1, L, L, 7:45
6, 2, L, L, 7:45
6, 3, L, L, 7:45
6, 4, L, L, 7:45
6, 5, M, L, 7:45
6, 6, M, L, 7:45
7, 0, L, M, 7:45
7, 1, L, M, 7:45
7, 2, M, L, 7:45
7, 3, L, L, 7:45
7, 4, L, L, 7:45
7, 5, L, L, 7:45
7, 6, M, M, 7:45
7, 7, L, M, 7:45
7, 8, L, M, 7:45
7, 9, L, M, 7:45
7, 10, L, M, 7:45
7, 11, M, M, 7:45
8, 0, L, H, 7:45
8, 1, L, H, 7:45
8, 2, L, L, 7:45
8, 3, L, L, 7:45
8, 4, L, L, 7:45
8, 5, L, L, 7:45
8, 6, L, L, 7:45
