#lineID, stationID, statusN, statusS, timestamp
0, 0, M, H, 9:58
0, 1, L, H, 9:58
0, 2, M, H, 9:58
0, 3, L, H, 9:58
0, 4, M, H, 9:58
0, 5, M, H, 9:58
0, 6, L, H, 9:58
0, 7, L, M, 9:58
0, 8, L, M, 9:58
0, 9, L, M, 9:58
0, 10, L, M, 9:58
0, 11, H, M, 9:58
0, 12, H, M, 9:58
0, 13, L, M, 9:58
0, 14, L, M, 9:58
0, 15, L, M, 9:58
0, 16, L, M, 9:58
0, 17, L, H, 9:58
0, 18, L, H, 9:58
0, 19, L, H, 9:58
0, 20, L, H, 9:58
0, 21, L, H, 9:58
0, 22, L, H, 9:58
0, 23, L, M, 9:58
0, 24, L, L, 9:58
0, 25, L, L, 9:58
0, 26, M, M, 9:58
0, 27, H, L, 9:58
0, 28, H, L, 9:58
0, 29, H, L, 9:58
0, 30, L, L, 9:58
0, 31, L, L, 9:58
0, 32, L, H, 9:58
0, 33, L, H, 9:58
0, 34, L, L, 9:58
0, 35, L, L, 9:58
0, 36, L, L, 9:58
1, 0, L, L, 9:58
1, 1, L, L, 9:58
1, 2, L, L, 9:58
1, 3, L, L, 9:58
1, 4, L, L, 9:58
1, 5, L, L, 9:58
1, 6, M, M, 9:58
1, 7, M, M, 9:58
1, 8, L, L, 9:58
1, 9, L, L, 9:58
1, 10, L, L, 9:58
1, 11, L, L, 9:58
2, 0, M, M, 9:59
2, 1, M, M, 9:59
2, 2, L, L, 9:59
2, 3, L, L, 9:59
2, 4, M, M, 9:59
2, 5, L, M, 9:59
2, 6, L, M, 9:59
2, 7, L, M, 9:59
2, 8, L, M, 9:59
2, 9, L, L, 9:59
2, 10, L, L, 9:59
2, 11, L, L, 9:59
2, 12, L, L, 9:59
2, 13, L, L, 9:59
2, 14, M, L, 9:59
2, 15, M, M, 9:59
2, 16, L, M, 9:59
2, 17, L, L, 9:59
2, 18, M, L, 9:59
2, 19, L, L, 9:59
2, 20, L, L, 9:59
2, 21, L, L, 9:59
2, 22, L, L, 9:59
2, 23, L, L, 9:59
2, 24, M, L, 9:59
3, 0, L, L, 9:59
3, 1, L, M, 9:59
3, 2, L, M, 9:59
3, 3, M, L, 9:59
3, 4, M, L, 9:59
3, 5, M, M, 9:59
3, 6, M, M, 9:59
3, 7, M, M, 9:59
4, 0, M, M, 9:59
4, 1, M, L, 9:59
4, 2, L, L, 9:59
4, 3, L, L, 9:59
4, 4, M, L, 9:59
4, 5, M, M, 9:59
4, 6, M, M, 9:59
4, 7, L, M, 9:59
4, 8, M, L, 9:59
4, 9, L, L, 9:59
4, 10, M, M, 9:59
4, 11, M, M, 9:59
4, 12, L, M, 9:59
4, 13, L, L, 9:59
4, 14, M, M, 9:59
4, 15, M, M, 9:59
4, 16, M, H, 9:59
4, 17, L, H, 9:59
4, 18, L, H, 9:59
5, 0, L, M, 9:59
5, 1, M, M, 9:59
5, 2, M, M, 9:59
5, 3, L, L, 9:59
5, 4, L, L, 9:59
5, 5, L, L, 9:59
5, 6, H, L, 9:59
5, 7, H, L, 9:59
5, 8, H, M, 9:59
5, 9, H, M, 9:59
5, 10, H, M, 9:59
5, 11, H, L, 9:59
5, 12, L, L, 9:59
5, 13, M, L, 9:59
5, 14, L, L, 9:59
6, 0, L, L, 9:59
6, 1, M, M, 9:59
6, 2, L, L, 9:59
6, 3, L, L, 9:59
6, 4, L, L, 9:59
6, 5, L, L, 9:59
6, 6, M, L, 9:59
7, 0, M, M, 9:59
7, 1, L, M, 9:59
7, 2, M, M, 9:59
7, 3, L, L, 9:59
7, 4, L, L, 9:59
7, 5, L, L, 9:59
7, 6, M, M, 9:59
7, 7, L, M, 9:59
7, 8, L, M, 9:59
7, 9, M, M, 9:59
7, 10, M, L, 9:59
7, 11, L, L, 9:59
8, 0, L, L, 9:59
8, 1, L, L, 9:59
8, 2, L, L, 9:59
8, 3, L, L, 9:59
8, 4, L, L, 9:59
8, 5, L, L, 9:59
8, 6, L, L, 9:59
