#lineID, stationID, statusN, statusS, timestamp
0, 0, L, M, 7:45
0, 1, L, L, 7:45
0, 2, M, M, 7:45
0, 3, L, L, 7:45
0, 4, M, M, 7:45
0, 5, M, M, 7:45
0, 6, L, L, 7:45
0, 7, L, L, 7:45
0, 8, H, L, 7:45
0, 9, H, L, 7:45
0, 10, H, H, 7:45
0, 11, H, H, 7:45
0, 12, H, H, 7:45
0, 13, H, H, 7:45
0, 14, H, H, 7:45
0, 15, H, H, 7:45
0, 16, H, H, 7:45
0, 17, H, H, 7:45
0, 18, H, L, 7:45
0, 19, H, H, 7:45
0, 20, H, H, 7:45
0, 21, H, H, 7:45
0, 22, H, H, 7:45
0, 23, H, H, 7:45
0, 24, H, H, 7:45
0, 25, H, H, 7:45
0, 26, H, H, 7:45
0, 27, H, H, 7:45
0, 28, H, H, 7:45
0, 29, H, L, 7:45
0, 30, L, L, 7:45
0, 31, M, M, 7:45
0, 32, L, H, 7:45
0, 33, L, H, 7:45
0, 34, L, L, 7:45
0, 35, L, L, 7:45
0, 36, L, L, 7:45
1, 0, L, L, 7:45
1, 1, L, L, 7:45
1, 2, L, M, 7:45
1, 3, L, M, 7:45
1, 4, L, L, 7:45
1, 5, L, L, 7:45
1, 6, M, M, 7:45
1, 7, M, M, 7:45
1, 8, M, L, 7:45
1, 9, L, L, 7:45
1, 10, L, L, 7:45
1, 11, M, M, 7:45
2, 0, M, M, 7:45
2, 1, M, M, 7:45
2, 2, L, L, 7:45
2, 3, M, L, 7:45
2, 4, M, M, 7:45
2, 5, L, M, 7:45
2, 6, M, M, 7:45
2, 7, L, M, 7:45
2, 8, M, M, 7:45
2, 9, L, L, 7:45
2, 10, L, L, 7:45
2, 11, M, M, 7:45
2, 12, M, M, 7:45
2, 13, L, L, 7:45
2, 14, M, L, 7:45
2, 15, M, M, 7:45
2, 16, L, M, 7:45
2, 17, L, L, 7:45
2, 18, M, M, 7:45
2, 19, L, L, 7:45
2, 20, L, L, 7:45
2, 21, L, L, 7:45
2, 22, L, L, 7:45
2, 23, M, M, 7:45
2, 24, M, M, 7:45
3, 0, M, M, 7:45
3, 1, L, M, 7:45
3, 2, M, M, 7:45
3, 3, M, L, 7:45
3, 4, M, M, 7:45
3, 5, M, M, 7:45
3, 6, L, M, 7:45
3, 7, L, M, 7:45
4, 0, L, M, 7:45
4, 1, L, L, 7:45
4, 2, L, L, 7:45
4, 3, L, L, 7:45
4, 4, M, M, 7:45
4, 5, M, H, 7:45
4, 6, M, H, 7:45
4, 7, L, H, 7:45
4, 8, L, L, 7:45
4, 9, L, L, 7:45
4, 10, M, H, 7:45
4, 11, L, H, 7:45
4, 12, L, L, 7:45
4, 13, L, L, 7:45
4, 14, L, H, 7:45
4, 15, M, H, 7:45
4, 16, M, H, 7:45
4, 17, L, H, 7:45
4, 18, L, H, 7:45
5, 0, L, H, 7:45
5, 1, M, H, 7:45
5, 2, L, H, 7:45
5, 3, L, L, 7:45
5, 4, L, L, 7:45
5, 5, M, L, 7:45
5, 6, H, L, 7:45
5, 7, H, L, 7:45
5, 8, H, M, 7:45
5, 9, H, M, 7:45
5, 10, H, M, 7:45
5, 11, M, M, 7:45
5, 12, L, L, 7:45
5, 13, M, L, 7:45
5, 14, L, L, 7:45
6, 0, H, L, 7:45
6, 1, H, L, 7:45
6, 2, L, L, 7:45
6, 3, L, L, 7:45
6, 4, L, L, 7:45
6, 5, M, L, 7:45
6, 6, L, L, 7:45
7, 0, H, H, 7:45
7, 1, L, H, 7:45
7, 2, M, H, 7:45
7, 3, L, H, 7:45
7, 4, H, H, 7:45
7, 5, H, H, 7:45
7, 6, H, H, 7:45
7, 7, L, L, 7:45
7, 8, L, M, 7:45
7, 9, M, M, 7:45
7, 10, L, M, 7:45
7, 11, M, L, 7:45
8, 0, L, L, 7:45
8, 1, L, L, 7:45
8, 2, L, L, 7:45
8, 3, L, L, 7:45
8, 4, H, L, 7:45
8, 5, L, L, 7:45
8, 6, L, L, 7:45
